,genre,occurances
1297,german soundtrack,6
1298,abstract,6
1299,kentucky roots,6
1300,australian children's music,6
1301,tamborazo,6
1302,queer country,6
1303,future garage,6
1304,melodic hard rock,6
1305,folk metal,6
1306,persian pop,6
1307,uk alternative pop,6
1308,experimental ambient,6
1309,canadian classical piano,6
1310,gaita zuliana,6
1311,singaporean pop,6
1312,musica para ninos,6
1313,norwegian indie,6
1314,charanga,6
1315,czech classical,6
1316,deep smooth jazz,6
1317,groove room,6
1318,viking metal,6
1319,musica prehispanica,6
1320,austin singer-songwriter,6
1321,barockinterpreten,6
1322,melodic thrash,6
1323,pop venezolano,6
1324,synth funk,5
1325,canadian post-hardcore,5
1326,italian renaissance,5
1327,italian progressive rock,5
1328,african-american classical,5
1329,canadian blues,5
1330,italian classical piano,5
1331,canadian americana,5
1332,italian soundtrack,5
1333,accordion,5
1334,canadian psychedelic,5
1335,cambodian rock,5
1336,israeli classical piano,5
1337,australian psych,5
1338,british jazz,5
1339,italo dance,5
1340,uilleann pipes,5
1341,uk alternative hip hop,5
1342,art song,5
1343,vintage old-time,5
1344,uk doom metal,5
1345,bassline,5
1346,uk metalcore,5
1347,nashville indie,5
1348,atlanta indie,5
1349,narodna muzika,5
1350,naija worship,5
1351,uk worship,5
1352,kannada bhava geethe,5
1353,barbadian pop,5
1354,bandoneon,5
1355,kentucky mountain folk,5
1356,ballet class,5
1357,australian country,5
1358,musica andina,5
1359,uptempo hardcore,5
1360,azonto,5
1361,modern jazz piano,5
1362,australian house,5
1363,vancouver indie,5
1364,latin afrobeat,5
1365,venezuelan hip hop,5
